Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
PCY/ESL3861,PIZZA INGREDIENT FRIDGE - 6 DIV,CaterMarket,True,EACH,10760.0,12374.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9150.0,-1,Sales,Purchases
PCY/ESL3861S,PIZZA INGREDIENT FRIDGE WITH S/S LID - 6 DIV,CaterMarket,True,EACH,10760.0,12374.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9150.0,0,Sales,Purchases
PCY/ESL3888,PIZZA INGREDIENT FRIDGE - 8 DIV,CaterMarket,True,EACH,11642.0,13388.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9900.0,-1,Sales,Purchases
PCY/ESL3888S,PIZZA INGREDIENT FRIDGE WITH S/S LID - 8 DIV,CaterMarket,True,EACH,11642.0,13388.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9900.0,0,Sales,Purchases
PCY/MBF8113,SINGLE DOOR UPRIGHT FREEZER,CaterMarket,True,EACH,32105.0,36920.75,True,,,,,,,,,,,,,Standard Rate,Standard Rate,27300.0,0,Sales,Purchases
PCY/MBF8114,DOUBLE DOOR UPRIGHT FREEZER,CaterMarket,True,EACH,45864.0,52743.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,39000.0,0,Sales,Purchases
PCY/MBF8116,SINGLE DOOR UPRIGHT FRIDGE,CaterMarket,True,EACH,27166.0,31240.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,23100.0,0,Sales,Purchases
PCY/MBF8117,DOUBLE DOOR UPRIGHT FRIDGE,CaterMarket,True,EACH,38102.0,43817.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,32400.0,-1,Sales,Purchases
PFS-YXD-25D,PRESSURE FRYER - 25LT,CaterMarket,True,EACH,58212.0,66943.8,True,,,,,,,,,,,,,Standard Rate,Standard Rate,49500.0,-2,Sales,Purchases
PFS-YXD-B3,PRESSURE FRYER BASKET - 3 LAYER,CaterMarket,True,EACH,1588.0,1826.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1350.0,0,Sales,Purchases
PFS-YXD-BH,HANDLE FOR PRESSURE FRYER SQUARE BASKET,CaterMarket,True,EACH,353.0,405.95,True,,,,,,,,,,,,,Standard Rate,Standard Rate,300.0,0,Sales,Purchases
PFS-YXD-BO,PRESSURE FRYER BASKET - OPEN,CaterMarket,True,EACH,1058.0,1216.7,True,,,,,,,,,,,,,Standard Rate,Standard Rate,900.0,0,Sales,Purchases
PFS-YXY-25D,PRESSURE FRYER - GAS - 25LT,CaterMarket,True,EACH,68796.0,79115.4,True,,,,,,,,,,,,,Standard Rate,Standard Rate,58500.0,0,Sales,Purchases
PLA-1100-D3D-39,2 DOOR FOOD SERVING TROLLEY,CaterMarket,True,EACH,21874.0,25155.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,18600.0,0,Sales,Purchases
PLA-1100-S3D-39,SINGLE DOOR FOOD SERVING TROLEY,CaterMarket,True,EACH,14818.0,17040.7,True,,,,,,,,,,,,,Standard Rate,Standard Rate,12600.0,0,Sales,Purchases
PLA-1100-T3D-39,3 DOOR FOOD SERVING TROLLEY,CaterMarket,True,EACH,25754.0,29617.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,21900.0,0,Sales,Purchases
PLA-HSL-11,1/1 GN - HERMETIC SEAL LID,CaterMarket,True,EACH,176.0,202.4,True,,,,,,,,,,,,,Standard Rate,Standard Rate,150.0,0,Sales,Purchases
PMB0010,PLANETARY MIXER - 10LT,CaterMarket,True,EACH,13054.0,15012.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11100.0,0,Sales,Purchases
PMB0020,PLANETARY MIXER - 20LT,CaterMarket,True,EACH,15170.0,17445.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,12900.0,0,Sales,Purchases
PMB0030,PLANETARY MIXER - 30LT,CaterMarket,True,EACH,20110.0,23126.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,17100.0,-1,Sales,Purchases
PMB0040,PLANETARY MIXER - 40LT,CaterMarket,True,EACH,37044.0,42600.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,31500.0,-1,Sales,Purchases
POP0140,PIZZA OVEN - SINGLE DECK - 1 PIZZA PER DECK,CaterMarket,True,EACH,9702.0,11157.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,8250.0,0,Sales,Purchases
POP0240,PIZZA OVEN - DOUBLE DECK - 1 PIZZA PER DECK,CaterMarket,True,EACH,12701.0,14606.15,True,,,,,,,,,,,,,Standard Rate,Standard Rate,10800.0,0,Sales,Purchases
POS1101,PIZZA OVEN - SINGLE DECK - 1 PIZZA PER DECK,CaterMarket,True,EACH,3528.0,4057.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3000.0,-1,Sales,Purchases
POS1404,PIZZA OVEN - SINGLE DECK - 4 PIZZAS PER DECK,CaterMarket,True,EACH,11290.0,12983.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9600.0,0,Sales,Purchases
POS2102,PIZZA OVEN - DOUBLE DECK - 1 PIZZA PER DECK,CaterMarket,True,EACH,5645.0,6491.75,True,,,,,,,,,,,,,Standard Rate,Standard Rate,4800.0,0,Sales,Purchases
POS2408,PIZZA OVEN - DOUBLE DECK - 4 PIZZAS PER DECK,CaterMarket,True,EACH,21874.0,25155.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,18600.0,0,Sales,Purchases
PPS0006,POTATO PEELER - 6KG,CaterMarket,True,EACH,10760.0,12374.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9150.0,0,Sales,Purchases
PPS0015,POTATO PEELER - 15KG,CaterMarket,True,EACH,16582.0,19069.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,14100.0,0,Sales,Purchases
PRP0040,PIZZA DOUGH ROLLER - DSA420 T.GO,CaterMarket,True,EACH,20286.0,23328.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,17250.0,-1,Sales,Purchases
PRP0041,PIZZA DOUGH ROLLER - DSA420 RP T.GO,CaterMarket,True,EACH,22226.0,25559.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,18900.0,0,Sales,Purchases
PRP0050,PIZZA DOUGH ROLLER DMA500/1,CaterMarket,True,EACH,16052.0,18459.8,True,,,,,,,,,,,,,Standard Rate,Standard Rate,13650.0,0,Sales,Purchases
PRS0040,PIZZA DOUGH ROLLER,CaterMarket,True,EACH,17464.0,20083.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,14850.0,0,Sales,Purchases
PSB-QS-400B,PASTRY / DOUGH SHEETER - 400MM BELT,CaterMarket,True,EACH,63857.0,73435.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,54300.0,0,Sales,Purchases
PSB-QS-630B,PASTRY / DOUGH SHEETER - 630MM BELT,CaterMarket,True,EACH,83261.0,95750.15,True,,,,,,,,,,,,,Standard Rate,Standard Rate,70800.0,-2,Sales,Purchases
PTP0001,PLATFORM TROLLEY - 880 X 580MM,CaterMarket,True,EACH,2117.0,2434.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1800.0,0,Sales,Purchases
PTP0002,PLATFORM TROLLEY - 730 X 490MM,CaterMarket,True,EACH,1588.0,1826.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1350.0,0,Sales,Purchases
PWS0001,PIE WARMER - 660MM,CaterMarket,True,EACH,5116.0,5883.4,True,,,,,,,,,,,,,Standard Rate,Standard Rate,4350.0,-1,Sales,Purchases
PWS0002,PIE WARMER - 900MM,CaterMarket,True,EACH,6703.0,7708.45,True,,,,,,,,,,,,,Standard Rate,Standard Rate,5700.0,0,Sales,Purchases
PWS0004,PIE WARMER - 640MM,CaterMarket,True,EACH,4234.0,4869.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3600.0,-1,Sales,Purchases
RCS0010,RICE COOKER - 10LT,CaterMarket,True,EACH,1411.0,1622.65,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1200.0,0,Sales,Purchases
SCS0900,4 TIER CHROME SHELVING UNIT - 900 X 450 X 1800MM HIGH,CaterMarket,True,EACH,2293.0,2636.95,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1950.0,-12,Sales,Purchases
SCS0901,ADDITIONAL SHELF FOR 900 SHELVING UNIT,CaterMarket,True,EACH,406.0,466.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,345.0,0,Sales,Purchases
SCS1200,4 TIER CHROME SHELVING UNIT - 1200 X 450 X 1800MM HIGH,CaterMarket,True,EACH,2646.0,3042.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2250.0,-3,Sales,Purchases
SCS1201,ADDITIONAL SHELF FOR 1200 SHELVING UNIT,CaterMarket,True,EACH,494.0,568.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,420.0,0,Sales,Purchases
SCS1500,4 TIER CHROME SHELVING UNIT - 1500 X 450 X 1800MM HIGH,CaterMarket,True,EACH,3175.0,3651.25,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2700.0,0,Sales,Purchases
SCS1501,ADDITIONAL SHELF FOR 1500 SHELVING UNIT,CaterMarket,True,EACH,617.0,709.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,525.0,0,Sales,Purchases
SCS1800,4 TIER CHROME SHELVING UNIT - 1800 X 450 X 1800MM HIGH,CaterMarket,True,EACH,3704.0,4259.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3150.0,-4,Sales,Purchases
SCS1801,ADDITIONAL SHELF FOR 1800 SHELVING UNIT,CaterMarket,True,EACH,741.0,852.15,True,,,,,,,,,,,,,Standard Rate,Standard Rate,630.0,0,Sales,Purchases
SDO0050,STAND FOR DISHWASHER,CaterMarket,True,EACH,2268.0,2608.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1800.0,0,Sales,Purchases
SDP0044,STAND FOR DOUBLE DECK OVEN,CaterMarket,True,EACH,5998.0,6897.7,True,,,,,,,,,,,,,Standard Rate,Standard Rate,5100.0,0,Sales,Purchases
SDP0066,STAND FOR DOUBLE DECK OVEN,CaterMarket,True,EACH,7409.0,8520.35,True,,,,,,,,,,,,,Standard Rate,Standard Rate,6300.0,0,Sales,Purchases
SES0936,SALAMANDER ELECTRIC,CaterMarket,True,EACH,3352.0,3854.8,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2850.0,0,Sales,Purchases
SKI0010,SOUP KETTLE - 10LT - BLACK,CaterMarket,True,EACH,1411.0,1622.65,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1200.0,0,Sales,Purchases
SKI1010,SOUP KETTLE - 10LT - STAINLESS STEEL,CaterMarket,True,EACH,1588.0,1826.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1350.0,0,Sales,Purchases
SMP0103,SLUSH MACHINE - 1 X 3LT,CaterMarket,True,EACH,10584.0,12171.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9000.0,-1,Sales,Purchases
SMP0110,SLUSH MAHCINE - 1 X 10LT,CaterMarket,True,EACH,21874.0,25155.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,18600.0,0,Sales,Purchases
SMP0203,SLUSH MACHINE - 2 X 3LT,CaterMarket,True,EACH,15523.0,17851.45,True,,,,,,,,,,,,,Standard Rate,Standard Rate,13200.0,0,Sales,Purchases
SMP0210,SLUSH MACHINE - 2 X 10LT,CaterMarket,True,EACH,27342.0,31443.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,23250.0,-2,Sales,Purchases
SMP0310,SLUSH MAHCINE - 3 X 10LT,CaterMarket,True,EACH,34927.0,40166.05,True,,,,,,,,,,,,,Standard Rate,Standard Rate,29700.0,-3,Sales,Purchases
