Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
1B01206,FIN LINE - JUICE - 17.5CL (72),BCE,TRUE,EACH,12.35,14.20,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,9.88,0,Sales,Purchases
1B01210,FIN LINE - HI BALL - 28CL (72),BCE,TRUE,EACH,13.05,15.01,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,10.44,0,Sales,Purchases
1B01213,FIN LINE - HI BALL - 35.5CL (72),BCE,TRUE,EACH,14.35,16.50,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,11.48,-72,Sales,Purchases
1B13009,IVORY - ROCK - 26.5CL (72),BCE,TRUE,EACH,13.85,15.93,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,11.08,0,Sales,Purchases
1B13011,IVORY - ROCK - 32CL (72),BCE,TRUE,EACH,15.35,17.65,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,12.28,0,Sales,Purchases
1B13013,IVORY - HI BALL - 37CL (72),BCE,TRUE,EACH,15.35,17.65,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,11.72,0,Sales,Purchases
1B13016,IVORY - HI BALL - 46CL (72),BCE,TRUE,EACH,16.35,18.80,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,13.08,0,Sales,Purchases
1B13312,TANGO - ROCK - 35CL (48),BCE,TRUE,EACH,24.05,27.66,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,19.24,0,Sales,Purchases
1B13315,TANGO - LONG DRINK - 42.5CL (48),BCE,TRUE,EACH,24.65,28.35,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,19.72,0,Sales,Purchases
1B13610,TEMPO - CARAFE - 29CL (48),BCE,TRUE,EACH,23.15,26.62,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,18.52,0,Sales,Purchases
1B13621,TEMPO - CARAFE - 61CL (24),BCE,TRUE,EACH,33.35,38.35,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,26.68,0,Sales,Purchases
1B13634,TEMPO - CARAFE - 97CL (24),BCE,TRUE,EACH,49.95,57.44,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,39.96,0,Sales,Purchases
1B16112,STUDIO - ROCK - 34.5CL (48),BCE,TRUE,EACH,16.35,18.80,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,13.08,0,Sales,Purchases
1B16115,STUDIO - LONG DRINK - 43.5CL (48),BCE,TRUE,EACH,22.55,25.93,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,18.04,0,Sales,Purchases
1B16315,VIVA - FOOTED - 42CL (24),BCE,TRUE,EACH,35.85,41.23,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,28.68,0,Sales,Purchases
1B17514,TIARA FOOTED - 39.5CL (48),BCE,TRUE,EACH,30.75,35.36,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,24.60,0,Sales,Purchases
1B22711,JUBILEE - HI BALL - 33.5CL (48),BCE,TRUE,EACH,19.45,22.37,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,15.56,0,Sales,Purchases
1B22712,JUBILEE - ROCK - 34CL (48),BCE,TRUE,EACH,18.45,21.22,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,14.76,0,Sales,Purchases
1B23220,CRAFTMHAN - TUMBLER - 56.5CL (48),BCE,TRUE,EACH,33.35,38.35,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,26.68,0,Sales,Purchases
1B24516,MODULAR - 46CL (48),BCE,TRUE,EACH,23.15,26.62,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,18.52,0,Sales,Purchases
1B24522,MODULAR - 63CL (48),BCE,TRUE,EACH,28.15,32.37,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,22.52,0,Sales,Purchases
1C13011,IRIS - ROCK - 32CL (72),BCE,TRUE,EACH,30.75,35.36,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,24.60,0,Sales,Purchases
1C13013,IRIS - HI BALL - 37CL (72),BCE,TRUE,EACH,31.25,35.94,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,25.00,0,Sales,Purchases
1C18414,MADISON - LONG DRINK - 39CL (48),BCE,TRUE,EACH,30.75,35.36,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,24.60,0,Sales,Purchases
1C18512,LEXINGTON - ROCK - 34.5CL (48),BCE,TRUE,EACH,30.85,35.48,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
1C18513,LEXINGTON - HI BALL - 37CL (48),BCE,TRUE,EACH,30.75,35.36,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,24.60,0,Sales,Purchases
1C24010,FYN - ROCK - 29CL (72),BCE,TRUE,EACH,26.65,30.65,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,21.32,0,Sales,Purchases
1C24012,FYN - HI BALL - 35CL (48),BCE,TRUE,EACH,28.15,32.37,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,22.52,0,Sales,Purchases
1C24014,FYN - DOUBLE ROCK - 39.5CL (48),BCE,TRUE,EACH,28.15,32.37,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,22.52,0,Sales,Purchases
